Location_ID,Sensing_DateTime,Sensing_Date,Sensing_Time,Direction_1,Direction_2,Total_of_Directions
19,2025-10-10T02:28:00+11:00,2025-10-10,02:28,1,0,1
19,2025-10-10T02:31:00+11:00,2025-10-10,02:31,2,0,2
19,2025-10-10T02:35:00+11:00,2025-10-10,02:35,0,2,2
20,2025-10-10T02:27:00+11:00,2025-10-10,02:27,3,0,3
20,2025-10-10T02:28:00+11:00,2025-10-10,02:28,1,0,1
20,2025-10-10T02:35:00+11:00,2025-10-10,02:35,0,1,1
24,2025-10-10T02:28:00+11:00,2025-10-10,02:28,1,0,1
30,2025-10-10T02:25:00+11:00,2025-10-10,02:25,4,3,7
49,2025-10-10T02:36:00+11:00,2025-10-10,02:36,1,0,1
49,2025-10-10T02:37:00+11:00,2025-10-10,02:37,0,1,1
